Features,Type
"[-4.6631052e+02  7.6168770e+01 -3.3071617e+01 -5.8022265e+00
 -7.3924118e-01 -1.6209229e+01 -9.9931669e+00  3.5380368e+00
 -6.9481936e+00 -2.8630581e+00  1.6329449e+00 -3.1356707e+00
 -6.6680541e+00 -5.0917711e+00  1.6017312e-01  7.3265138e+00
  1.1977115e+01  9.6740904e+00  3.1321285e+00 -2.8104923e+00
 -1.9827442e+00  1.3478459e+00  3.1498086e+00 -5.1044297e-01
 -7.1565552e+00]",belly_pain
"[-3.0381918e+02  2.2734219e+01  3.7627921e+00 -1.1795820e+00
  3.9392165e-03 -2.0076141e+00 -3.9576626e+00 -5.2425423e+00
 -5.8284435e+00 -4.5340972e+00 -3.7461414e+00 -3.0493276e+00
 -3.0386708e+00 -3.7555785e+00 -4.6195655e+00 -2.9673142e+00
 -1.6692368e+00 -7.8468078e-01  1.4380522e+00  4.7967057e+00
  6.7930684e+00  5.5324240e+00  2.5358617e+00  9.1486581e-02
 -5.0912380e-01]",belly_pain
"[-3.5595541e+02  1.4805482e+02 -5.6601181e+01 -4.9004440e+00
  5.0192595e+00 -4.0707104e+01 -7.6242690e+00 -7.3949509e+00
 -2.6016520e+01 -2.1717708e+00 -1.0037333e+01 -1.9247219e+01
 -2.0043764e-01 -9.3368034e+00 -1.2804481e+01  5.4780406e-01
 -9.4752169e+00 -8.4449253e+00  1.8571323e+00 -7.3845892e+00
 -5.4699430e+00  2.9499130e-02 -5.2229033e+00  1.9135056e+00
  1.9834886e+00]",belly_pain
"[-259.4545       66.253555     -8.827711    -13.613338     -6.39807
  -16.731981    -12.445974     -9.485147    -15.545312     -8.839405
   -3.1033008    -8.025667     -9.298913     -7.701395     -6.550383
   -1.5536467     0.9156862     1.0788733     3.343918      1.5722588
   -3.137675     -2.4844794    -2.1309173    -3.155001     -0.92186064]",belly_pain
"[-277.88324    155.44197    -77.70069     18.467752   -20.223186
  -51.530586     1.0039494  -30.3693     -14.575851     1.3368964
  -26.2409      -1.1520431   -5.2759495  -14.104319     6.336056
  -11.680942    -9.614087    -2.8398678  -19.45871     -4.083853
   -2.6469867   -9.430735     3.3197553   -5.1289186   -0.6987994]",belly_pain
"[-375.61853     123.67502     -67.518         9.579247      1.7840416
  -32.913223      2.409639     -2.0329847   -18.95868       5.376369
   -5.4684496   -12.607738      0.86246675   -9.700089     -8.061489
    1.1644889    -8.054022     -1.6642236     3.2933972    -4.864974
    2.7296975     2.0259078    -6.9691963     0.42309645   -1.7275002 ]",belly_pain
"[-272.61267     59.920116   -11.572905    -1.2232722  -13.945041
  -24.253216   -11.236131   -18.941858   -15.571658    -7.7156973
  -13.591887    -6.557001    -3.3148267   -1.5035269   10.049561
    7.5192103    1.2708548    1.1362376   -4.2565975   -2.3264403
   -1.5694803   -6.524869    -3.6545112   -4.108203    -4.498662 ]",belly_pain
"[-2.98393188e+02  3.30671668e+00 -3.32752967e+00 -5.61816692e+00
 -2.57349992e+00 -7.66309679e-01 -8.28517556e-01 -1.14827669e+00
 -9.68344629e-01 -1.07724214e+00 -4.53856438e-01  3.45492005e-01
  1.21698715e-01 -1.39306641e+00 -1.56623375e+00  2.41172314e-01
  2.53461719e+00  2.72577786e+00  1.80369592e+00  2.06861064e-01
 -1.27950013e+00 -1.64163530e+00 -6.08571649e-01  3.88006061e-01
 -1.90870121e-01]",belly_pain
"[-246.77235      43.193226      0.9729437     1.1630648    -1.8767302
  -13.295234    -10.1670475    -7.9297643   -13.040748    -10.996712
   -6.1872883    -6.8698335    -6.5272193    -5.026166     -6.540051
   -4.0151052     2.5631204     5.230462      6.801517      9.670368
    8.218873      3.6408935     2.3146615     0.87670344   -0.37570465]",belly_pain
"[-173.24        75.463875   -42.729645    -8.384924   -18.462837
  -23.277243    -0.5776658   -6.841665    -2.0123403    3.1969385
  -13.276799    -5.801973    -2.0541205   -7.777316     4.538815
    7.0373287    6.678213    12.091915     1.4355415   -3.8837242
   -2.5570376   -5.0482154    0.8440781    1.6883681   -3.4394124]",belly_pain
