Features,Type
"[-4.9942471e+02  1.1208116e+02 -4.9807816e+01 -1.8214211e+01
  1.3028867e+01 -2.6151291e+01 -1.4420481e+01  7.6037087e+00
 -1.1387849e+01 -9.1284218e+00  4.6242223e+00 -5.1194358e+00
 -7.7287154e+00 -3.5381069e+00 -7.9796448e+00 -2.6154983e+00
  7.2713938e+00  7.6115971e+00  7.8030806e+00  5.1207466e+00
 -2.9906518e+00 -3.7075183e+00  5.3345686e-01  9.1738695e-01
 -1.2745421e+00 -5.5300674e+00 -7.1350956e+00 -2.1157627e+00
  5.4769897e-01 -3.1326134e+00 -5.2774339e+00 -2.0461240e+00
  3.2763066e+00  4.8143873e+00  1.5666145e+00  3.3595213e-01
  1.6939725e+00 -6.8348485e-01 -4.2427125e+00 -2.8210821e+00]",belly_pain
"[-5.0324100e+02  1.5562462e+02 -5.3089634e+01 -9.3387537e+00
  1.8954021e+01 -3.0361124e+01 -1.0490327e+01 -1.9197921e-01
 -2.5778471e+01 -7.8774090e+00 -1.7375965e+00 -1.9827587e+01
 -6.8324337e+00 -5.2338133e+00 -1.8699984e+01 -4.7401547e+00
 -1.8618798e+00 -1.2453473e+01  1.4335911e+00  8.5837536e+00
 -1.4932211e-01  1.7246722e+00 -2.0730247e+00 -9.2479391e+00
 -2.1952531e+00 -1.7584935e+00 -7.5289550e+00 -3.6955612e+00
 -3.6447406e+00 -5.1573739e+00  3.1925449e-01 -1.1592826e+00
 -5.1152577e+00 -1.2177706e+00  1.2590812e-01 -1.0056554e+00
  5.7310295e-01  1.1876258e+00  3.6731021e+00  5.4540000e+00]",belly_pain
"[-4.2670706e+02  1.5733188e+02 -5.2705971e+01 -1.4524200e+01
  1.1352674e+01 -3.7552837e+01 -1.5138313e+01  3.2016623e-01
 -2.4708117e+01 -1.0134473e+01 -3.3377779e+00 -2.0508154e+01
 -7.7402949e+00 -2.0978572e+00 -1.3885005e+01 -4.2297792e+00
 -2.0916193e+00 -1.1650045e+01 -2.3975241e+00  8.4168844e-02
 -8.5601606e+00 -2.7118180e+00  7.7041095e-01 -2.8796754e+00
  1.4081889e-01 -2.4510758e+00 -6.5858407e+00 -1.0381469e+00
 -1.1858436e+00 -5.5240097e+00 -2.6554415e+00 -1.7955005e+00
 -2.7812839e+00 -3.3901513e-01 -9.6069551e-01 -2.0354743e+00
 -7.2663075e-01 -2.2454739e+00 -2.6661777e+00 -2.2312230e-01]",belly_pain
"[-3.8903870e+02  1.6844524e+02 -6.7223183e+01 -1.7126301e+01
  1.3631199e+01 -4.1452286e+01 -1.4523580e+01 -1.0052770e+00
 -3.1239031e+01 -8.3849306e+00  1.8402039e+00 -2.2669641e+01
 -1.1450462e+01 -3.4937093e+00 -1.3468182e+01 -1.9426318e-01
  3.3947778e+00 -6.3234868e+00  1.4127531e+00 -1.2182518e+00
 -1.0568883e+01 -1.5191768e+00 -8.7301880e-01 -6.8887930e+00
 -4.7893366e-01 -2.1247835e+00 -7.0535798e+00 -9.6167558e-01
 -1.6208612e+00 -3.9591420e+00  2.3596706e+00  2.4866753e+00
  8.9168060e-01  3.9704850e+00  1.1104003e+00 -1.2276664e+00
  6.9089502e-01 -1.2824419e+00 -6.2160951e-01  2.1092412e+00]",belly_pain
"[-3.1743289e+02  1.7603571e+02 -6.2427364e+01 -4.4671364e+00
  1.7833765e+01 -4.8702007e+01 -1.9136120e+01 -3.0113065e+00
 -3.2136478e+01 -8.0819969e+00 -9.8825538e-01 -2.2390026e+01
 -5.4005809e+00 -2.4472375e+00 -1.6219673e+01 -6.3156843e-01
  5.2092844e-01 -1.0393015e+01  3.0600908e-01 -3.3196657e+00
 -1.4170643e+01 -5.3417072e+00 -5.8403888e+00 -9.4807997e+00
 -7.7552867e-01 -3.8205631e+00 -7.1090074e+00  1.6146384e+00
  4.8222381e-01 -1.2914748e+00  4.4202185e+00  2.1261752e+00
  1.6751524e+00  5.2673707e+00  6.3183665e-02 -1.3556393e+00
  2.5133593e+00 -2.9511899e-01 -6.0779548e-01  1.4030752e+00]",belly_pain
"[-3.8952472e+02  1.4890518e+02 -7.2827492e+01 -8.7109327e+00
  1.6210020e+01 -4.4576469e+01 -8.7855129e+00  8.6077805e+00
 -2.5924629e+01 -4.4064307e+00  5.3361564e+00 -1.9474684e+01
 -7.0738807e+00 -5.3482968e-01 -1.3911309e+01 -2.7256753e+00
  8.5661548e-01 -7.6137705e+00  1.1526074e+00  1.6363307e+00
 -3.8110492e+00  2.8835769e+00 -1.2000643e+00 -7.3607259e+00
 -8.6079901e-01 -3.1184962e+00 -6.6170216e+00 -4.4246188e-01
 -1.4404057e+00 -2.8398430e+00  1.0546721e+00 -2.4497132e+00
 -3.6056046e+00  1.3009008e+00 -5.6803155e-01 -1.7239459e+00
  1.8181417e+00  1.1106641e+00  1.7826059e-01  6.6346133e-01]",belly_pain
"[-3.9550275e+02  1.3450542e+02 -4.0998844e+01 -3.8517056e+00
  1.0750525e+01 -3.6928837e+01 -1.5562063e+01 -5.3565793e+00
 -2.9510025e+01 -1.2537200e+01 -5.1995583e+00 -2.0710413e+01
 -8.4671507e+00 -4.7369123e+00 -1.3243527e+01  2.8468006e+00
  8.8822193e+00 -1.1046748e+00  3.3200006e+00  1.8159430e+00
 -5.8946362e+00 -7.6555640e-01 -2.2438114e+00 -7.6659341e+00
 -2.8747663e+00 -5.1215487e+00 -9.1562014e+00 -2.7943633e+00
 -2.0571787e+00 -3.9092193e+00  7.5914651e-01  4.1194609e-01
 -1.0372882e+00  2.1462495e+00  6.7693079e-01 -6.0208410e-01
  1.9708046e+00  5.0377589e-01 -2.5391859e-01  1.7375319e+00]",belly_pain
"[-4.3381680e+02  9.3447205e+01  1.9128580e-01 -1.0415295e+01
 -4.0812230e+00 -1.8815041e+01 -1.6638805e+01 -1.0185335e+01
 -1.7012871e+01 -1.5683461e+01 -9.2018681e+00 -8.5248165e+00
 -5.5446229e+00 -4.7740679e+00 -7.7524772e+00 -3.8705835e+00
 -2.9734954e-01 -2.1182687e+00  4.7638890e-01  2.7757475e+00
 -1.1695197e+00 -2.1516502e+00 -9.9730588e-02 -7.3132032e-01
 -1.0151806e+00 -1.7199776e+00 -4.2356491e+00 -3.6353929e+00
 -1.6170920e+00 -2.3251252e+00 -2.8317120e+00 -2.3667858e+00
 -2.0013945e+00  3.8216022e-01  3.1288657e+00  3.0841630e+00
  2.0757756e+00  1.5252590e+00  6.0150760e-01 -2.1188286e-01]",belly_pain
"[-3.9530911e+02  1.2801906e+02 -4.7220932e+01  1.3578546e+00
  6.5307579e+00 -4.4836468e+01 -9.6786184e+00 -2.1405780e+00
 -3.2203331e+01 -7.5309701e+00 -2.1458068e+00 -2.2886612e+01
 -4.9304266e+00 -3.6874846e-01 -1.1760331e+01  5.7957282e+00
  1.0305523e+01  9.2093259e-01  9.6319551e+00  5.1859074e+00
 -6.5948615e+00  1.1775763e-01 -5.0594616e-01 -5.6476855e+00
 -7.2029136e-02 -2.8815033e+00 -6.4447722e+00 -4.7655749e-01
 -2.1713779e+00 -4.3509464e+00  6.0174441e-01  4.0632936e-01
  7.8311402e-01  3.8108504e+00  1.4486845e+00  1.5615747e+00
  2.8843489e+00 -9.0637088e-01 -4.9042037e-01  1.1279870e+00]",belly_pain
"[-2.5229735e+02  1.4554683e+02 -5.8926727e+01 -1.6598593e+01
  3.6728160e+00 -4.1373680e+01 -9.4181919e+00  4.1325431e+00
 -1.8737617e+01  2.6173766e+00  3.8835170e+00 -1.7873196e+01
 -3.2032547e+00 -2.2949703e+00 -1.6613443e+01 -2.0622730e+00
  2.8382463e+00 -2.2660127e+00  1.2302794e+01  1.2921433e+01
  7.4435568e-01  2.1020553e+00 -2.7977102e+00 -8.6671505e+00
 -1.0822178e-01  5.2158117e-01 -4.7864127e+00 -1.5983065e+00
 -7.0028389e-01 -6.1500794e-01  5.5076003e-01 -5.4181185e+00
 -6.2756743e+00  1.9434640e+00  4.0899162e+00  3.1250567e+00
  5.5775533e+00  5.8473110e+00  3.3635881e+00 -5.3826624e-01]",belly_pain
